Filament Name,Filament Material,Filament Link,Filament Color,Filament Color Image Link,Filament Color Hex,Link to Filament TDS
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,OSSO,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,RED RACE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,NEPTUNE BLUE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,NATURAL,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,YELLOW TREED,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,YELLOW LEMON,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,VIOLET,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,ALLUMINIUM,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,BRONZE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,ANTHRACITE GREY,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,GREEN ARMY,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,AQUAMARINE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,ORANGE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,RED WINE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,BROWN,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,Industrial Grey,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,APPLE GREEN,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,Oxford green,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Fusion,PLA,https://treedfilaments.com/shop/product/?sku=PLAFUSI,Industrial Grey,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafusion.png,Not Available,Not Available
PLA Fusion,PLA,https://treedfilaments.com/shop/product/?sku=PLAFUSI,ALLUMINIUM,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafusion.png,Not Available,Not Available
PLA Fusion,PLA,https://treedfilaments.com/shop/product/?sku=PLAFUSI,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafusion.png,Not Available,Not Available
PLA Fusion,PLA,https://treedfilaments.com/shop/product/?sku=PLAFUSI,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafusion.png,Not Available,Not Available
PLA Fusion,PLA,https://treedfilaments.com/shop/product/?sku=PLAFUSI,NATURAL,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafusion.png,Not Available,Not Available
PLA Fusion,PLA,https://treedfilaments.com/shop/product/?sku=PLAFUSI,RED RACE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafusion.png,Not Available,Not Available
PLA Fusion,PLA,https://treedfilaments.com/shop/product/?sku=PLAFUSI,NEPTUNE BLUE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafusion.png,Not Available,Not Available
PLA Fusion,PLA,https://treedfilaments.com/shop/product/?sku=PLAFUSI,YELLOW TREED,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafusion.png,Not Available,Not Available
PLA Fusion,PLA,https://treedfilaments.com/shop/product/?sku=PLAFUSI,YELLOW LEMON,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafusion.png,Not Available,Not Available
PLA Fusion,PLA,https://treedfilaments.com/shop/product/?sku=PLAFUSI,VIOLET,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafusion.png,Not Available,Not Available
PLA Fusion,PLA,https://treedfilaments.com/shop/product/?sku=PLAFUSI,APPLE GREEN,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafusion.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,NEPTUNE BLUE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,RED RACE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,YELLOW TREED,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,YELLOW LEMON,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,VIOLET,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,ALLUMINIUM,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,BRONZE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,ANTHRACITE GREY,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,GREEN ARMY,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,AQUAMARINE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,ORANGE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,RED WINE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,BROWN,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,Industrial Grey,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,APPLE GREEN,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,Oxford green,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Levigo,PLA,https://treedfilaments.com/shop/product/?sku=PLALEV,NATURAL,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplalevigo.png,Not Available,Not Available
PLA Shineless,PLA,https://treedfilaments.com/shop/product/?sku=PLASHINE,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplashineless.png,Not Available,Not Available
PLA Shineless,PLA,https://treedfilaments.com/shop/product/?sku=PLASHINE,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplashineless.png,Not Available,Not Available
PLA SHOGUN,PLA,https://treedfilaments.com/shop/product/?sku=PLASHOG,NATURAL,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplashogun.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,RED RACE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,NEPTUNE BLUE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,YELLOW TREED,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,YELLOW LEMON,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,VIOLET,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,ALLUMINIUM,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,BRONZE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,ANTHRACITE GREY,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,GREEN ARMY,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,AQUAMARINE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,ORANGE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,RED WINE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,BROWN,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,Industrial Grey,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,APPLE GREEN,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
PLA Fast Forward,PLA,https://treedfilaments.com/shop/product/?sku=PLAFF,Oxford green,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplafastforward.png,Not Available,Not Available
Monumental,HIPS,https://treedfilaments.com/shop/product/?sku=MONU,WHITE MARBLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedmonumental.png,Not Available,Not Available
Sandy,HIPS,https://treedfilaments.com/shop/product/?sku=SAND,SAND,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedsandy.png,Not Available,Not Available
Clay,HIPS,https://treedfilaments.com/shop/product/?sku=CLAY,SALMON ORANGE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedclay.png,Not Available,Not Available
Dark Stone,HIPS,https://treedfilaments.com/shop/product/?sku=DARKST,SLATE GREY,https://dlh2hyjriy9yy.cloudfront.net/filaments/treeddarkstone.png,Not Available,Not Available
Heritage Brick,HIPS,https://treedfilaments.com/shop/product/?sku=HERBR,undefined,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedheritagebrick.png,Not Available,Not Available
Monumental Evo,ASA,https://treedfilaments.com/shop/product/?sku=MONEV,WHITE MARBLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedmonumentalevo.png,Not Available,Not Available
Clay Evo,ASA,https://treedfilaments.com/shop/product/?sku=CLAEV,SALMON ORANGE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedclayevo.png,Not Available,Not Available
Fortis LL,PP,https://treedfilaments.com/shop/product/?sku=FORTLL,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedfortisll.png,Not Available,Not Available
Structura MA,PA,https://treedfilaments.com/shop/product/?sku=STRUCT,CARBON BLACK,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedstructurama.png,Not Available,Not Available
Verum T,PC,https://treedfilaments.com/shop/product/?sku=VERU,SEETROUGHT,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedverumt.png,Not Available,Not Available
Pure FT,TPE-U,https://treedfilaments.com/shop/product/?sku=PURE,OSSO,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedpureft.png,Not Available,Not Available
Elasto A,TPE-U,https://treedfilaments.com/shop/product/?sku=ELAST,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedelastoa.png,Not Available,Not Available
PLA XRay,PLA,https://treedfilaments.com/shop/product/?sku=PLAXR,WHITE MARBLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaxray.png,Not Available,Not Available
TPE-U Flexmark 9,TPE-U,https://treedfilaments.com/shop/product/?sku=FLEX9,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-uflexmark9.png,Not Available,Not Available
TPE-U Flexmark 9,TPE-U,https://treedfilaments.com/shop/product/?sku=FLEX9,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-uflexmark9.png,Not Available,Not Available
TPE-U Flexmark 8,TPE-U,https://treedfilaments.com/shop/product/?sku=FLEX8,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-uflexmark8.png,Not Available,Not Available
TPE-U Flexmark 8,TPE-U,https://treedfilaments.com/shop/product/?sku=FLEX8,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-uflexmark8.png,Not Available,Not Available
TPE-U Flexmark 7,TPE-U,https://treedfilaments.com/shop/product/?sku=FLEX7,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-uflexmark7.png,Not Available,Not Available
TPE-U Flexmark 7,TPE-U,https://treedfilaments.com/shop/product/?sku=FLEX7,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-uflexmark7.png,Not Available,Not Available
TPE-E Ultraflex,TPE-E,https://treedfilaments.com/shop/product/?sku=ULTRA,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-eultraflex.png,Not Available,Not Available
TPE-E Ultraflex,TPE-E,https://treedfilaments.com/shop/product/?sku=ULTRA,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-eultraflex.png,Not Available,Not Available
TPE-E Ultraflex +,TPE-E,https://treedfilaments.com/shop/product/?sku=ULTRA+,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-eultraflexplus.png,Not Available,Not Available
TPE-E Ultraflex +,TPE-E,https://treedfilaments.com/shop/product/?sku=ULTRA+,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-eultraflexplus.png,Not Available,Not Available
TPE-A Flexability,TPE-A,https://treedfilaments.com/shop/product/?sku=FLEXA,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-aflexability.png,Not Available,Not Available
TPE-A Flexability,TPE-A,https://treedfilaments.com/shop/product/?sku=FLEXA,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-aflexability.png,Not Available,Not Available
TPE-A Flexability +,TPE-A,https://treedfilaments.com/shop/product/?sku=FLEXA+,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-aflexabilityplus.png,Not Available,Not Available
TPE-A Flexability +,TPE-A,https://treedfilaments.com/shop/product/?sku=FLEXA+,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedtpe-aflexabilityplus.png,Not Available,Not Available
Pneumatique,TPE-U,https://treedfilaments.com/shop/product/?sku=PNEU,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedpneumatique.png,Not Available,Not Available
PLA Kyotoflex,PLA,https://treedfilaments.com/shop/product/?sku=KYO,CHLOROPHYLL GREEN,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplakyotoflex.png,Not Available,Not Available
PLA Kyotoflex,PLA,https://treedfilaments.com/shop/product/?sku=KYO,YELLOW TREED,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplakyotoflex.png,Not Available,Not Available
PLA Kyotoflex,PLA,https://treedfilaments.com/shop/product/?sku=KYO,YELLOW LEMON,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplakyotoflex.png,Not Available,Not Available
